S2085 Outline	S2085 Text	Common	S685 Outline	S685 Text
[TITLE I SEC. 101.(a)] SEC. 4691.(c)(3)		case, fee, amount, equal, determined	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
[TITLE I SEC. 101.(a)] SEC. 4692.	FEE ON FLUORINATED GREENHOUSE GASES.			
[TITLE I SEC. 101.(a)] SEC. 4692.(a)	IN GENERAL.—There is hereby imposed a fee in an amount determined under subsection (b) on fluorinated greenhouse gases—	imposed, fee, amount, subsection, greenhouse	[SEC. 3.(a)(1)] (i)(5)	REVISIONS.—With respect to any determination made by the Administrator as to the amount of greenhouse gas emissions for any calendar year (including calendar year 2018), any subsequent revision by the Administrator with respect to such amount shall apply for purposes of the fee imposed under subsection (b) for any calendar years beginning after such revision. (f) EXEMPTION AND REFUND.—The Secretary shall prescribe such rules as are necessary to ensure the carbon fee imposed by this section is not imposed with respect to any nonemitting use, or any sale or transfer for a nonemitting use, including rules providing for the refund of any carbon fee paid under this section with respect to any such use, sale, or transfer.
[TITLE I SEC. 101.(a)] SEC. 4692.(a)(1)	produced at a fluorinated greenhouse gas production facility, or			
[TITLE I SEC. 101.(a)] SEC. 4692.(a)(2)	imported into the United States by a fluorinated greenhouse gas importer.			
[TITLE I SEC. 101.(a)] SEC. 4692.(b)	AMOUNT OF FEE.—The amount of fee imposed by subsection (a) shall be equal to the applicable percentage (as defined in subsection (c)(4)) of the applicable amount determined under section 4691(b) per ton of carbon dioxide equivalent produced or imported.	amount, fee, imposed, equal, carbon	[SEC. 3.(a)] SEC. 4692.(c)	AMOUNT OF THE CARBON FEE.—The carbon fee imposed by this section is an amount equal to—
[TITLE I SEC. 101.(a)] SEC. 4692.(b)		amount, imposed, equal, determined, carbon	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4692.(b)		amount, fee, imposed, equal, determined, carbon, imported	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4692.(b)		amount, fee, imposed, carbon, imported	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(B)	REDUCTION IN FEE.—The amount of the equivalency fee under subparagraph (A) shall be reduced by the amount, if any, of any fees imposed on the carbon-intensive product by the foreign nation or governmental units from which such product was imported.
[TITLE I SEC. 101.(a)] SEC. 4692.(b)		amount, fee, imposed, equal, imported	[SEC. 3.(a)(1)] SEC. 4695.(c)(2)(A)	IN GENERAL.—In the case of any covered fuel imported into the United States, there is imposed a fee on the person importing such fuel in an amount equal to the amount of any fees that would be imposed under this subchapter related to the use, sale, or transfer of such fuel.
[TITLE I SEC. 101.(a)] SEC. 4692.(b)		amount, fee, equal, determined, carbon	SEC. 5.(d)(2)	PHASEOUT OF PAYMENTS.—In the case of any taxpayer whose modified adjusted gross income for the most recent taxable year for which a return has been filed exceeds the threshold amount, the amount of the carbon fee rebate payment otherwise payable to any household member of the taxpayer under this section shall be reduced (but not below zero) by a dollar amount equal to 5 percent of such payment (as determined before application of this paragraph) for each $1,000 (or fraction thereof) by which the modified adjusted gross income of the taxpayer exceeds the threshold amount.
[TITLE I SEC. 101.(a)] SEC. 4692.(c)	DEFINITIONS.—For purposes of this section—			
[TITLE I SEC. 101.(a)] SEC. 4692.(c)(1)	FLUORINATED GREENHOUSE GASES.—The term ‘fluorinated greenhouse gases’ means sulfur hexafluoride (SF6), nitrogen trifluoride (NF3), any hydrofluorocarbon, any perfluorocarbon, any fully fluorinated linear, branched or cyclic alkane, ether, tertiary amine or aminoether, any perfluoropolyether, any hydrofluoropolyether, and any other fluorocarbon except for substances with vapor pressures of less than 1 mm of Hg absolute at 25 degrees Celsius.			
[TITLE I SEC. 101.(a)] SEC. 4692.(c)(2)	FLUORINATED GREENHOUSE GAS PRODUCTION FACILITY.—The term ‘fluorinated greenhouse gas production facility’ means any facility which is included under the industrial gas supplier source category under subpart OO of part 98 of title 40, Code of Federal Regulations, as in effect on the date of the enactment of the Save Our Future Act.			
[TITLE I SEC. 101.(a)] SEC. 4692.(c)(3)	FLUORINATED GREENHOUSE GAS IMPORTER.—The term ‘fluorinated greenhouse gas importer’ means any importer who is included under—			
[TITLE I SEC. 101.(a)] SEC. 4692.(c)(3)(A)	the industrial gas supplier source category under subpart OO of part 98 of title 40, Code of Regulations, as in effect on the date of the enactment of the Save Our Future Act, or			
[TITLE I SEC. 101.(a)] SEC. 4692.(c)(3)(B)	the source category under subpart QQ of such part (as so in effect).			
[TITLE I SEC. 101.(a)] SEC. 4692.(c)(4)	APPLICABLE PERCENTAGE.—The term ‘applicable percentage’ means the percentage determined in accordance with the following table: ...................................................................................... 10 percent ...................................................................................... 20 percent ...................................................................................... 30 percent ...................................................................................... 40 percent ...................................................................................... 50 percent ...................................................................................... 60 percent ...................................................................................... 70 percent ...................................................................................... 80 percent ...................................................................................... 90 percent or thereafter ................................................................ 100 percent.			
[TITLE I SEC. 101.(a)] SEC. 4692.(d)	EXEMPTION FOR EXPORTS.—For purposes of determining fluorinated greenhouse gases produced or imported under subsection (a), there shall not be taken into account any fluorinated greenhouse gases exported from the United States in bulk or exported from the United States in equipment pre-charged with fluorinated greenhouse gases or containing fluorinated greenhouse gases in closed cell foams.			
[TITLE I SEC. 101.(a)] SEC. 4692.(e)	REFUND FOR CONSUMPTIVE USES AND DESTRUCTION.—In the case of a person who uses any fluorinated greenhouse gas for which a fee has been imposed under paragraph (1) or (2) of subsection (a) as an input for a manufactured good that transforms the fluorinated greenhouse gas such that it cannot later be emitted or otherwise destroys the gas (without emissions), a refund shall be allowed to such person in the same manner as if it were an overpayment of the fee imposed by such subsection in an amount that is equal to the product of—	greenhouse, gas, fee, otherwise, emissions, manner		any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment. (5) COVERED FUEL.—The term ‘covered fuel’ means crude oil, natural gas, coal, or any other product derived from crude oil, natural gas, or coal which shall be used so as to emit greenhouse gases to the atmosphere.
[TITLE I SEC. 101.(a)] SEC. 4692.(e)		greenhouse, gas, emissions, amount, equal	[SEC. 3.(a)] SEC. 4692.(a)(2)	CUMULATIVE EMISSIONS.—The term ‘cumulative emissions’ means an amount equal to the sum of any greenhouse gas emissions resulting from the use of covered fuels and any noncovered fuel emissions for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4692.(e)		greenhouse, gas, subsection, emissions, amount, equal	[SEC. 3.(a)(1)] (i)(1)(A)	REFERENCE YEAR.—For purposes of subsection (d), the emissions target for any year shall be the amount of greenhouse gas emissions that is equal to—
[TITLE I SEC. 101.(a)] SEC. 4692.(e)		greenhouse, gas, fee, imposed, subsection, emissions, amount	[SEC. 3.(a)(1)] (i)(5)	REVISIONS.—With respect to any determination made by the Administrator as to the amount of greenhouse gas emissions for any calendar year (including calendar year 2018), any subsequent revision by the Administrator with respect to such amount shall apply for purposes of the fee imposed under subsection (b) for any calendar years beginning after such revision. (f) EXEMPTION AND REFUND.—The Secretary shall prescribe such rules as are necessary to ensure the carbon fee imposed by this section is not imposed with respect to any nonemitting use, or any sale or transfer for a nonemitting use, including rules providing for the refund of any carbon fee paid under this section with respect to any such use, sale, or transfer.
[TITLE I SEC. 101.(a)] SEC. 4692.(e)		refund, case, fee, imposed, manner, overpayment	[SEC. 3.(a)(1)] SEC. 4694.(b)(1)	IN GENERAL.—In the case of any facility for which carbon capture equipment has been placed in service, the Secretary shall make payments in the same manner as if such payment was a refund of an overpayment of the fee imposed by section 4692 or 4693.
[TITLE I SEC. 101.(a)] SEC. 4692.(e)		refund, case, imposed, amount, equal, product	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
